date,v5c,v5b,v5,spy
2008-02-08,0.005539,0.005781,0.007701,-0.008622
2008-02-11,0.003910,0.003807,0.004170,0.003681
2008-02-12,-0.009658,-0.009769,-0.009183,0.003958
2008-02-13,0.001022,0.000763,0.002384,0.009193
2008-02-14,-0.009521,-0.009167,-0.005706,-0.012611
2008-02-15,0.005598,0.005484,0.004898,0.004051
2008-02-19,0.014734,0.014465,0.016864,0.009598
2008-02-20,0.010966,0.010801,0.009455,0.005901
2008-02-21,-0.012442,-0.011907,-0.013058,-0.019063
2008-02-22,0.000843,0.000715,0.002372,0.004558
2008-02-25,0.002070,0.001711,0.003974,0.012768
2008-02-26,-0.002384,-0.002300,0.000133,-0.002981
2008-02-27,0.002790,0.002760,0.000623,0.001052
2008-02-28,0.002837,0.003205,0.002897,-0.013105
2008-02-29,-0.004284,-0.003703,-0.006651,-0.020669
2008-03-03,0.003636,0.003664,0.004712,-0.001024
2008-03-04,-0.013129,-0.012997,-0.013369,-0.004670
2008-03-05,0.005321,0.005232,0.008497,0.003179
2008-03-06,-0.019794,-0.018935,-0.017689,-0.030587
2008-03-07,-0.007198,-0.006882,-0.007735,-0.011236
2008-03-10,0.003081,0.003374,0.003322,-0.010421
2008-03-11,0.010907,0.015021,0.016962,0.037165
2008-03-12,-0.003557,-0.005727,-0.007332,-0.019606
2008-03-13,-0.000116,-0.000173,0.001092,-0.000515
2008-03-14,0.005108,0.004068,0.001820,-0.009392
2008-03-17,0.005080,0.005207,-0.001082,0.001150
2008-03-18,0.002484,0.006383,0.010526,0.035220
2008-03-19,-0.006422,-0.007760,-0.015131,-0.012091
2008-03-20,-0.001768,0.000220,0.001339,0.017957
2008-03-24,0.000493,0.002536,0.005710,0.018449
2008-03-25,0.003674,0.002962,0.003634,-0.006437
2008-03-26,-0.002045,-0.003660,-0.001501,-0.014590
2008-03-27,-0.001210,-0.001525,0.001384,-0.002853
2008-03-28,-0.000930,-0.001335,-0.004188,-0.003662
2008-03-31,-0.003657,-0.003793,-0.005776,0.003498
2008-04-01,0.001505,0.002068,0.003429,0.038856
2008-04-02,0.006871,0.006829,0.008405,-0.002902
2008-04-03,0.002149,0.002187,0.001837,0.002627
2008-04-04,0.006743,0.006786,0.007368,-0.001094
2008-04-07,0.017941,0.017365,0.018281,0.014860
2008-04-08,-0.008247,-0.008059,-0.007652,-0.004853
2008-04-09,0.008728,0.008962,0.009121,-0.006040
2008-04-10,-0.007868,-0.007713,-0.007243,-0.004011
2008-04-11,-0.008304,-0.007552,-0.008472,-0.019409
2008-04-14,0.008833,0.008555,0.009939,0.007156
2008-04-15,-0.005038,-0.004935,-0.002235,-0.002662
2008-04-16,0.005253,0.004579,0.007269,0.017395
2008-04-17,-0.006626,-0.006530,-0.006553,-0.002485
2008-04-18,0.000374,-0.000030,0.001464,0.010434
2008-04-21,0.000693,0.000640,-0.000288,0.001365
2008-04-22,0.010543,0.010364,0.011001,0.004641
2008-04-23,-0.001472,-0.001522,-0.000974,0.001289
2008-04-24,-0.013867,-0.013828,-0.013836,-0.001012
2008-04-25,0.004227,0.003868,0.005907,0.009254
2008-04-28,0.011442,0.011125,0.010895,0.008190
2008-04-29,-0.019258,-0.018713,-0.020312,-0.014052
2008-04-30,0.000029,0.000029,-0.001686,-0.005896
2008-05-01,0.012666,0.012666,0.011722,0.029126
2008-05-02,0.002247,0.002247,0.005647,0.002764
2008-05-05,0.003614,0.003614,0.005443,-0.005747
2008-05-06,0.017067,0.017067,0.018600,0.019332
2008-05-07,-0.012487,-0.012487,-0.011593,-0.019326
2008-05-08,0.006611,0.006611,0.005790,-0.001898
2008-05-09,0.001482,0.001482,0.001880,-0.001868
2008-05-12,0.008588,0.008588,0.007743,0.015381
2008-05-13,-0.006372,-0.006372,-0.003492,0.000045
2008-05-14,-0.000909,-0.000909,-0.001897,0.001538
2008-05-15,0.010569,0.010569,0.009098,0.007790
2008-05-16,0.006571,0.006571,0.007555,0.000912
2008-05-19,-0.003299,-0.003299,-0.003363,-0.003015
2008-05-20,0.000052,0.000052,0.000185,-0.009827
2008-05-21,-0.009506,-0.009506,-0.007077,-0.021469
2008-05-22,-0.008565,-0.008565,-0.008240,-0.000728
2008-05-23,-0.006115,-0.006115,-0.006418,-0.013404
2008-05-27,-0.003634,-0.003634,-0.004001,0.008090
2008-05-28,0.003639,0.003639,0.005815,0.007044
2008-05-29,-0.012850,-0.012850,-0.013754,0.001689
2008-05-30,0.006969,0.006969,0.006772,0.002500
2008-06-02,0.006708,0.006708,0.006714,-0.000108
2008-06-03,-0.004405,-0.004405,-0.003850,-0.001441
2008-06-04,-0.006537,-0.006537,-0.007334,-0.002499
2008-06-05,0.010567,0.010567,0.012090,0.013666
2008-06-06,-0.000282,-0.000282,0.000506,-0.031894
2008-06-09,0.002949,0.002949,0.002989,0.010854
2008-06-10,-0.018813,-0.018813,-0.017421,-0.010265
2008-06-11,0.008121,0.008121,0.007992,-0.006352
2008-06-12,-0.002188,-0.002188,-0.000968,0.004120
2008-06-13,0.006463,0.006463,0.005620,0.012644
2008-06-16,-0.001175,-0.001175,-0.002280,-0.004944
2008-06-17,-0.001672,-0.002221,-0.002277,-0.005390
2008-06-18,-0.004260,-0.005946,-0.005897,-0.016564
2008-06-19,-0.004536,-0.004476,-0.006038,0.000595
2008-06-20,-0.004075,-0.005728,-0.005416,-0.016232
2008-06-23,-0.002861,-0.002791,-0.000524,0.000688
2008-06-24,-0.000782,-0.001204,-0.001294,-0.004141
2008-06-25,-0.005575,-0.005759,-0.006363,-0.001802
2008-06-26,-0.000361,-0.003448,-0.004513,-0.030331
2008-06-27,0.002067,0.001511,0.001401,-0.005459
2008-06-30,0.002450,0.002348,0.002578,0.003528
2008-07-01,0.005395,0.005281,0.005144,0.003926
2008-07-02,-0.001305,-0.000948,0.000023,-0.012378
2008-07-03,-0.003025,-0.003048,-0.002513,0.000772
2008-07-07,-0.001970,-0.001888,-0.004581,-0.002812
2008-07-08,0.001750,0.001438,-0.002118,0.010825
2008-07-09,-0.007920,-0.007430,-0.008754,-0.016981
2008-07-10,0.004804,0.004858,0.007555,-0.001870
2008-07-11,-0.005941,-0.005605,-0.002862,-0.011652
2008-07-14,-0.009388,-0.008925,-0.010125,-0.016062
2008-07-15,-0.009776,-0.009440,-0.012917,-0.011629
2008-07-16,0.003497,0.004377,0.004898,0.025060
2008-07-17,-0.000492,-0.000165,-0.002851,0.009297
2008-07-18,0.001228,0.001447,0.000742,0.006230
2008-07-21,0.008441,0.008570,0.009160,0.003676
2008-07-22,-0.004773,-0.004458,-0.005713,0.008987
2008-07-23,-0.000978,-0.000607,-0.002131,0.010574
2008-07-24,-0.008776,-0.009553,-0.010684,-0.022116
2008-07-25,-0.002972,-0.002980,-0.002744,-0.000239
2008-07-28,-0.000412,-0.000766,-0.001488,-0.010076
2008-07-29,0.006453,0.007197,0.006192,0.021191
2008-07-30,0.009523,0.010112,0.012572,0.016789
2008-07-31,0.002261,0.002261,0.000063,-0.008823
2008-08-01,-0.002825,-0.002825,-0.002767,-0.005283
2008-08-04,-0.001971,-0.001971,-0.004645,0.000193
2008-08-05,0.005775,0.005775,0.004874,0.030859
2008-08-06,0.004010,0.004010,0.003546,0.006828
2008-08-07,0.010348,0.010348,0.009017,-0.002638
2008-08-08,0.000392,0.000392,-0.003119,0.018581
2008-08-11,0.005788,0.005788,0.007573,0.023101
2008-08-12,0.011021,0.011021,0.008381,0.004979
2008-08-13,0.003477,0.003477,0.007194,-0.005937
2008-08-14,-0.001292,-0.001292,-0.002351,0.008466
2008-08-15,-0.002271,-0.002271,-0.004379,0.004864
2008-08-18,-0.003382,-0.003382,-0.004436,-0.015311
2008-08-19,0.004369,0.004369,0.006832,-0.008465
2008-08-20,-0.004660,-0.004660,-0.003810,-0.002449
